FMShop,หมู,อร่อยมาก,110,200.0,images/Items/2021-10-20_1634722746713.png,16,39,10,20,2021
FMShop,ไก่,อร่อยจริงๆ,10,100.0,images/Items/2021-10-20_1634722845503.png,16,40,10,20,2021
FMShop,เป็ด,อร่อยเหมือนกัน,100,300.0,null,16,43,10,20,2021
FMShop,สายรุ้ง,3 สี,456,500.0,images/Items/2021-10-20_1634723092854.png,16,44,10,20,2021
BIGShop,ขนมปัง,สดใหม่ทุกเช้า,100,25.0,images/Items/2021-10-20_1634724411876.jpg,17,4,10,20,2021
BIGShop,ชูชิ,ส่งตรงจากสวีเดน,50,80.0,images/Items/2021-10-20_1634724443093.jpg,17,6,10,20,2021
WAKIMShop,สุนัข,น่ารักมากกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกก,1,2000.0,images/Items/2021-10-20_1634724862172.jpg,17,12,10,20,2021
WAKIMShop,แมว,แมวเมินหมา,1,1500.0,images/Items/2021-10-20_1634724922182.jpg,17,13,10,20,2021
KIAShop,เป็ดของเล่น,เล่นง่าย เล่นสนุก,200,50.0,images/Items/2021-10-20_1634725099037.jpg,17,18,10,20,2021
KIAShop,ของเล่นไดโนเสาร์,สำหรับเด็ก,100,99.0,images/Items/2021-10-20_1634725627782.jpg,17,26,10,20,2021
BBB,ff,vv,30,10.0,images/Items/2021-10-21_1634813076122.jpg,17,43,10,21,2021
BBB,rr,rr,20,20.0,images/Items/2021-10-21_1634813450273.png,17,44,10,21,2021
